시도,시군구,종별,기관명,주소,전화번호,야간여부
서울,강남구,상급종합병원,연세대학교의과대학 강남세브란스병원,서울특별시 강남구 언주로 211 강남세브란스병원 (도곡동),02-2019-3114,야간
서울,강남구,종합병원,차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3000,야간
서울,강남구,상급종합병원,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114,야간
서울,강남구,병원,윤호병원,"서울특별시 강남구 압구정로 304 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",02-512-0500,
서울,강남구,병원,호산여성병원,서울특별시 강남구 언주로 871 호산병원 (신사동),02-546-3493,야간
서울,강남구,의원,청담마리산부인과의원,서울특별시 강남구 삼성로 712 (청담동),02-2156-9200,야간
서울,강남구,의원,미래와희망산부인과의원,서울특별시 강남구 언주로 707 지하1층~11층 (논현동),02-3446-0011,야간
서울,강남구,의원,연앤네이쳐산부인과의원,서울특별시 강남구 학동로 521 2~4층 (청담동),02-518-1300,야간
서울,강남구,의원,도곡함춘산부인과의원,서울특별시 강남구 논현로 142 동현빌딩 2~6층 (도곡동),02-1661-9722,야간
서울,강동구,종합병원,성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),02-2224-2114,
서울,강동구,종합병원,강동경희대학교병원,서울특별시 강동구 동남로 892 (상일동),02-440-7114,야간
서울,강동구,병원,고은빛여성병원,서울특별시 강동구 천호대로 1151 (길동),1577-0082,야간
서울,강동구,병원,서울미즈병원,서울특별시 강동구 천호대로 1043 (천호동),02-470-9114,야간
서울,강동구,의원,강동드림산부인과의원,서울특별시 강동구 상일로12길 97 (상일제2동),02-441-4567,야간
서울,강서구,종합병원,미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),02-2007-1000,야간
서울,강서구,종합병원,이화여자대학교의과대학부속서울병원,서울특별시 강서구 공항대로 260 이화의대부속서울병원 (마곡동),1522-7000,야간
서울,강서구,병원,유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),02-2608-1011,야간
서울,강서구,의원,미래아이산부인과의원,"서울특별시 강서구 양천로 556 1-7층 (등촌동, 강서메디칼센터)",02-3665-2002,야간
서울,관악구,의원,가연관악산부인과의원,"서울특별시 관악구 남부순환로 1838 C.S타워 4~7,14층 (봉천동)",02-885-7900,야간
서울,구로구,상급종합병원,고려대학교의과대학부속구로병원,서울특별시 구로구 구로동로 148 고려대부속구로병원 (구로동),02-2626-1114,야간
서울,구로구,병원,삼성미래여성병원,서울특별시 구로구 서해안로 2296 삼성미래여성병원 (오류동),02-2682-2100,야간
서울,구로구,병원,아름제일병원,"서울특별시 구로구 새말로 94 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",02-855-9911,야간
